FECHA_CREACION;CARRERA;NIVEL_1;NIVEL_2;NIVEL_3;NIVEL_4
26-07-2023 12:05;INGENIERÍA EN COMERCIO EXTERIOR;Fuera de alcance;Fuera de alcance;Fuera de alcance;Resuelto
26-07-2023 12:02;GASTRONOMÍA INTERNACIONAL;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
26-07-2023 12:01;AUDITORÍA;Inscripción de asign;Información del proceso;Ventana de inscripción;Resuelto
26-07-2023 11:59;ECOTURISMO;Académico;Información o convalidación;Prácticas;Resuelto
26-07-2023 11:57;INGENIERÍA EN INFORMÁTICA;Académico;Admisión especial interna ;Cambio de jornada;Resuelto
26-07-2023 11:56;TURISMO Y HOTELERÍA MENCIÓN EMPRESAS TURÍSTICAS;Académico;Gestión académica;Contacto coordinador de carrera;Resuelto
26-07-2023 11:55;TURISMO Y HOTELERÍA;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
26-07-2023 11:52;ECOTURISMO;Inscripción de asign;Información del proceso;Modificación de carga;Resuelto
26-07-2023 11:48;INGENIERÍA EN INFORMÁTICA;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
26-07-2023 11:48;TURISMO Y HOTELERÍA MENCIÓN ADMINISTRACIÓN HOTELERA;Académico;Información o convalidación;Asignaturas;Resuelto
